Year,Competition,0,1,2,3,4,5,6,7,8
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Antony Wood,Oxford,,282.0,281.0,563,30.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Sebastian Bojczuk,Harlequin,,267.0,263.0,530,17.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Robert W Caldeira-Hankey,Cody,50+,256.0,270.0,526,19.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Andrew Edwards,Andover,50+,250.0,271.0,521,18.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Samuel Walby,Warfield,,261.0,257.0,518,18.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Stuart Walker,Harlequin,,257.0,260.0,517,13.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Stephen McFadden,Wallingford,,254.0,262.0,516,11.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,John Kelly,Warfield,50+,245.0,261.0,506,12.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Jamie Pointer,Wallingford,,257.0,245.0,502,11.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Chris Jordan,South Bucks,50+,263.0,237.0,500,13.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,50+,254.0,243.0,497,10.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Andy Buchan,Wallingford,,233.0,262.0,495,10.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Keith Swanepoel,Warfield,50+,252.0,234.0,486,15.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,50+,243.0,234.0,477,9.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Fran Dropik,Warfield,,209.0,245.0,454,11.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Phil Wortley,Wallingford,,221.0,229.0,450,6.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Mark Prewett,Great Rissington,,229.0,220.0,449,6.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Andy Climpson,Wallingford,50+,221.0,225.0,446,4.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Barry Miller,Cody,50+,250.0,195.0,445,6.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Anthony Dyboll,Cody,50+,222.0,221.0,443,12.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,Michael Burns,Wallingford,,234.0,204.0,438,7.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Men,James Atkins,Southampton,,227.0,193.0,420,3.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Women,Imogen Sullivan-Bell,Archways,,280.0,284.0,564,29.0
2024,Wallingford IS 1 2024,WA 18m,Recurve Women,Ella Caldeira-Hankey,Cody,,270.0,279.0,549,24.0
