Year,Competition,0,1,2,3,4,5,6,7,8
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Antony Wood,Oxford,,289.0,285.0,574,38.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,50+,268.0,271.0,539,18.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Samuel Walby,Warfield,,262.0,267.0,529,16.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Robert W Caldeira-Hankey,Cody,50+,260.0,254.0,514,14.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Mindaugas Sakalauskas,Oakfield,,266.0,247.0,513,15.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Chris Jordan,South Bucks,50+,249.0,253.0,502,10.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Andy Climpson,Wallingford,50+,240.0,255.0,495,11.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Andrew Edwards,Andover,50+,248.0,246.0,494,13.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,John Kelly,Warfield,50+,231.0,259.0,490,7.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Andy Buchan,Wallingford,,242.0,246.0,488,11.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Barry Miller,Cody,50+,262.0,221.0,483,12.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Stephen McFadden,Wallingford,,244.0,238.0,482,5.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Stuart Walker,Harlequin,,241.0,240.0,481,9.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Keith Swanepoel,Warfield,50+,223.0,255.0,478,9.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Sebastian Bojczuk,Harlequin,,231.0,247.0,478,7.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Phil Wortley,Wallingford,,246.0,231.0,477,7.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Michael Burns,Wallingford,,234.0,232.0,466,0.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Mark Prewett,Great Rissington,,229.0,228.0,457,7.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Anthony Dyboll,Cody,50+,241.0,210.0,451,5.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Jamie Pointer,Wallingford,,222.0,228.0,450,6.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Fran Dropik,Warfield,,239.0,182.0,421,8.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,Alec Bowling,Wallingford,U14,193.0,213.0,406,3.0
2024,Wallingford IS 2 2024,WA 18m,Recurve Men,James Atkins,Southampton,,195.0,172.0,367,1.0
