Year,Competition,0,1,2,3,4,5,6,7
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Min Seok Kim,Southampton Uni,283,279,562,30
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Liam Aronson,Sussex Uni,277,267,544,23
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Aryan Sharda,Surrey Uni,255,269,524,14
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Isaac Mcllwrath,Surrey Uni,257,266,523,16
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Alfred Bestford,Southampton Uni,243,272,515,19
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Ishaan Alidina,Imperial,232,263,495,14
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Joseph Hamilton,Portsmouth Uni,249,241,490,13
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Harvey Bishop,Southampton Uni,241,246,487,10
2026,SEAL Indoors 2026,WA 18m,Recurve Men,James Ingham,Brighton Uni,262,221,483,12
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Alvin Yip,Portsmouth Uni,221,239,460,12
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Nathan (John) Jones,Kent Uni,209,218,427,9
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Ivan Chau,Brunel Uni,221,201,422,5
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Minkyu Kim,Imperial,212,202,414,5
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Nicholas Sexton,Southampton Uni,191,181,372,7
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Thomas Allen,Southampton Uni,183,182,365,2
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Jonathan Packett,Royal Holloway,158,157,315,3
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Alexander Paul Holden,Brunel Uni,133,136,269,3
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Carlin Abley,Portsmouth Uni,149,116,265,3
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Ansh Agarwal,Imperial,118,84,202,0
2026,SEAL Indoors 2026,WA 18m,Recurve Men,Dean Astley,Brunel Uni,97,88,185,1
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Emily Menezes,Surrey Uni,239,269,508,16
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Eliza Tully,Reading Uni,246,257,503,10
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Isobel Dray,Surrey Uni,240,241,481,11
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Alison Ebbels,Sussex Uni,252,228,480,8
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Harriet Crook,Southampton Uni,235,241,476,14
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Simeng Li,Imperial,218,245,463,6
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Zahraa Abrahams,Queen Mary Uni,218,205,423,3
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Megan Hadley,Southampton Uni,232,183,415,8
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Charlotte Cook,Surrey Uni,213,201,414,6
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Alex Chutiwatwong,Surrey Uni,196,207,403,5
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Khrystyna Dyakovych,Kent Uni,189,191,380,3
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Anna Nolan,Reading Uni,134,167,301,3
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Lucy Knight,Sussex Uni,118,157,275,2
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Shreya Agnus Moorthi Raj,Brunel Uni,92,143,235,4
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Tess Archer,Brighton Uni,118,112,230,3
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Shannon Sin-Ni Lee,Brunel Uni,92,69,161,1
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Elizabeth Davey,Sussex Uni,96,59,155,1
2026,SEAL Indoors 2026,WA 18m,Recurve Women,Edisia Rodrigues,Brighton Uni,82,68,150,2
2026,SEAL Indoors 2026,WA 18m,Compound Men,Toby Lam,Imperial,277,280,557,19
2026,SEAL Indoors 2026,WA 18m,Compound Men,Lewis Freeman,Reading Uni,249,226,475,0
2026,SEAL Indoors 2026,WA 18m,Compound Men,Carlo Alberti,Southampton Uni,232,225,457,6
2026,SEAL Indoors 2026,WA 18m,Compound Women,Lyra Ellwood,Southampton Uni,264,270,534,9
2026,SEAL Indoors 2026,WA 18m,Compound Women,Eve Knowles,Portsmouth Uni,253,257,510,4
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Luka Gillingham,Surrey Uni,258,261,519,9
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Fin Jolley,Surrey Uni,241,238,479,7
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Maeve Fill,Reading Uni,207,191,398,8
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Dan Omar,Reading Uni,169,200,369,2
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Clinton Madende,Brunel Uni,143,197,340,4
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Wiktor Hubert Wolanski,Portsmouth Uni,145,186,331,2
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Matthew Owen,Reading Uni,180,150,330,3
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Oscar Coleman,Kent Uni,165,154,319,2
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Marc Saunders,Kent Uni,141,160,301,1
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Patrick Culmer,Sussex Uni,149,143,292,3
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Steven Dowling,Kent Uni,150,102,252,1
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Rain Hughes,Reading Uni,113,129,242,0
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Christopher Bourne,Portsmouth Uni,74,72,146,0
2026,SEAL Indoors 2026,WA 18m,Barebow Men,Ammar Hassan,Anglia Ruskin Uni,81,41,122,0
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Nurul Qistina Batrisyia,Queen Mary Uni,208,235,443,10
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Charlotte Sams,Portsmouth Uni,212,223,435,7
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Supprity Som,Surrey Uni,192,208,400,3
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Isabelle Burgess,Reading Uni,199,199,398,4
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Poppy Ansermoz,Kent Uni,189,201,390,6
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Niamh Baker,Royal Holloway,201,180,381,3
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Mara-Ioana Postolache,Queen Mary Uni,178,193,371,3
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Echo Brent,Sussex Uni,183,174,357,3
2026,SEAL Indoors 2026,WA 18m,Barebow Women,Niamh Starnes,Brighton Uni,201,150,351,4
2026,SEAL Indoors 2026,WA 18m,Barebow Women,San Yin,Kent Uni,176,167,343,3
