Year,Competition,0,1,2,3,4,5,6,7,8
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Gavin Hayden,Supermarine,,267.0,272.0,539,17.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Andy Buchan,Wallingford,,268.0,267.0,535,20.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Nick Hunter,Silver Arrow,50+,258.0,274.0,532,17.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Stuart Walker,Harlequin,50+,260.0,271.0,531,11.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Mindaugas Sakalauskas,Howard,,264.0,264.0,528,17.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Stuart Walker,Harlequin,50+,264.0,260.0,524,15.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,50+,249.0,268.0,517,12.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Jamie Pointer,Wallingford,,257.0,252.0,509,14.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Keith Swanepoel,Warfield,50+,242.0,263.0,505,8.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Stephen McFadden,Wallingford,,251.0,253.0,504,11.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Phil Wortley,Wallingford,,240.0,259.0,499,14.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Richard Carpenter,Cody,,249.0,250.0,499,13.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Sebastian Bojczuk,Harlequin,,246.0,252.0,498,8.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Ren McBain,Wallingford,,234.0,258.0,492,8.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Anthony Dyboll,Cody,50+,233.0,258.0,491,15.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Jozsef Sutyor,Woking,U15,242.0,241.0,483,8.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Alec Bowling,Wallingford,U14,226.0,239.0,465,9.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Ben Haskins,Wallingford,,226.0,238.0,464,5.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Michael Burns,Wallingford,,235.0,227.0,462,9.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Robert Caldeira-Hankey,Cody,50+,253.0,202.0,455,8.0
2025,Wallingford IS 2 2025,WA 18m,Recurve Men,Barry Miller,Cody,50+,219.0,222.0,441,5.0
