Year,Competition,0,1,2,3,4,5,6,7,8
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Nick Hunter,Silver Arrow,50+,277.0,283.0,560,31.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,George Arthur,Warfield,,274.0,273.0,547,23.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Mindaugas Sakalauskas,Howard,,263.0,268.0,531,19.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Andy Buchan,Wallingford,,256.0,265.0,521,13.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Richard Carpenter,Cody,,254.0,266.0,520,13.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Keith Swanepoel,Warfield,50+,257.0,261.0,518,12.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Michael Burns,Wallingford,,258.0,257.0,515,12.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Stephen McFadden,Wallingford,,245.0,256.0,501,13.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Jozsef Sutyor,Woking,U15,248.0,253.0,501,11.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Ren McBain,Wallingford,,251.0,249.0,500,8.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Andrew Edwards,Andover,50+,240.0,255.0,495,13.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Anthony Dyboll,Cody,50+,242.0,245.0,487,8.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Stuart Walker,Harlequin,50+,242.0,241.0,483,16.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Jozsef Sutyor (Snr),Woking,,245.0,238.0,483,12.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Phil Wortley,Wallingford,,233.0,250.0,483,10.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Alec Bowling,Wallingford,U14,249.0,220.0,469,9.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Fran Dropik,Warfield,,226.0,238.0,464,5.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Thomas Renault,Banbury Cross,,223.0,235.0,458,11.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Robert Caldeira-Hankey,Cody,50+,231.0,227.0,458,7.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,50+,220.0,236.0,456,5.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Barry Miller,Cody,50+,235.0,201.0,436,8.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,Joel Nichols,Wallingford,U14,117.0,112.0,229,0.0
2025,Wallingford IS 3 2025,WA 18m,Recurve Men,William Smith,Brent Valley,50+,,,DNS,
