Year,Competition,0,1,2,3,4,5,6,7,8
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Antony Wood,Oxford,,290.0,290.0,580,44.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Robert G Caldeira-Hankey,Cody,,282.0,290.0,572,38.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Edward Gray,Meriden,U18,288.0,281.0,569,42.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Jeff Smith,Cody,,271.0,276.0,547,16.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Barry Miller,Cody,50+,253.0,259.0,512,12.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Andy Buchan,Wallingford,,256.0,246.0,502,11.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Robert Caldeira-Hankey,Cody,50+,243.0,257.0,500,11.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Andrew Edwards,Compton,50+,254.0,238.0,492,11.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Stephen Fidler,Buscot Park,50+,246.0,245.0,491,13.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Sathish Kumar Kannan,Newport Pagnell,,250.0,233.0,483,9.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Lee Hayes,Wallingford,,236.0,232.0,468,6.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Andy Climpson,Wallingford,50+,248.0,218.0,466,9.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Kevin Griffiths,Wallingford,50+,228.0,219.0,447,6.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Jeremy Lui,Wallingford,U16,207.0,220.0,427,8.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Stephen McFadden,Wallingford,,230.0,185.0,415,7.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Anthony Dyboll,Cody,50+,190.0,189.0,379,5.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Martin Wood,Holt Woodland,,148.0,180.0,328,3.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Men,Fran Dropik,Warfield,,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Ritchie Shorthouse,Compton,,288.0,287.0,575,37.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Jacek Pedziwiatr,AGB,,285.0,290.0,575,35.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Rob Bittles,AC Delco,U21,283.0,279.0,562,22.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Jamie Mackrill,Medway,,279.0,281.0,560,25.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Michael Smith,Wallingford,,275.0,278.0,553,16.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Jose Goncalves,AGB,,271.0,265.0,536,9.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Ray Park,Wallingford,50+,265.0,270.0,535,11.0
2024,Wallingford IS 3 2024,WA 18m,Compound Men,Steve Griffiths,Medway,,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Imogen Sullivan-Bell,Archways,,276.0,277.0,553,26.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Ella Caldeira-Hankey,Cody,,269.0,281.0,550,18.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Alethea Russell,Wallingford,,254.0,249.0,503,13.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Rebecca Edwards,Southampton,,262.0,240.0,502,13.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Emma Cully,Southampton,,234.0,251.0,485,16.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Erin King,Wallingford,U21,222.0,240.0,462,7.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Charlie Wortley,Wallingford,U16,221.0,239.0,460,7.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Isabelle Mason,Clophill,U14,215.0,218.0,433,6.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Jasmine Harris,Wallingford,U16,184.0,244.0,428,7.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Tanith Ridgway,Wallingford,,195.0,201.0,396,5.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Rachel Pollard,Wallingford,,186.0,191.0,377,5.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Ellie Wortley,Wallingford,U14,109.0,110.0,219,0.0
2024,Wallingford IS 3 2024,WA 18m,Recurve Women,Kelly Stemp,Cody,,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Mia McGuane,Sittingbourne,U21,285.0,285.0,570,30.0
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Rachael Graham,AC Delco,,279.0,273.0,552,17.0
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Donna Mills,Rivernook,,278.0,273.0,551,15.0
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Emma Edwards,Southampton,,271.0,273.0,544,17.0
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Amelia Mae Griffiths,Wallingford,U18,193.0,202.0,395,0.0
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Carol Greenhalgh,Silver Arrow,,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Hannah Brown,Medway,,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Compound Women,Victoria Loader,AC Delco,,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Barebow Men,Oliver Hicks,Warfield,U18,270.0,255.0,525,18.0
2024,Wallingford IS 3 2024,WA 18m,Barebow Men,Robert Edwards,South Oxon,,250.0,252.0,502,13.0
2024,Wallingford IS 3 2024,WA 18m,Barebow Men,Joshua Shields,Compton,U21,,,DNS,
2024,Wallingford IS 3 2024,WA 18m,Barebow Women,Charlotte Hicks,Warfield,,246.0,228.0,474,9.0
2024,Wallingford IS 3 2024,WA 18m,Barebow Women,Emily Summers,Deer Park,U21,225.0,221.0,446,11.0
2024,Wallingford IS 3 2024,WA 18m,Barebow Women,Bronwen Colegate,Guildford,,206.0,240.0,446,8.0
